id;geocod_ibge;rds;nome;vuln;sensib;s_luc_2017;sl_agrotox;sl_agr_fam;sl_prat_sust;sl_fogo;s_csol_2017;sc_passivo;sc_desmat;sc_pastag;sc_miner;s_dens_pop_faz;sd_popul;sd_fazend;s_infra_2017;si_rodov;si_hidro;s_cap;sc_orient;sc_ucons;expos;e_cobexpo;e_cobnat;e_areaprot;e_priocons;ameaca_atual;ameaca_  SWL1.5;ameaca_SWL2.0;risco_atual;risco_SWL1.5;risco_SWL2.0
4223;2602001;ARP;Bodocó;0,77;0,47;0,81;0,67;0,1;0,95;1;0,17;0,09;0,25;0,91;0;0,41;0,19;0,64;0,54;0,52;0,55;0,01;0,01;;0,49;0,42;0,42;1;0,12;0,01;0,21;0,08;0,04;0,58;0,38
4224;2602100;AGM;Bom Conselho;0,73;0,47;0,19;0,17;0,19;0,86;0,2;0,45;0,09;1;0,8;0;0,59;0,5;0,68;0,49;0,23;0,74;0,07;0,07;;0,62;0,67;0,67;0,96;0,24;0,33;0,18;0,12;0,71;0,58;0,5
4225;2602209;AGS;Bom Jardim;0,63;0,27;0,21;0,09;0,28;0,67;0,15;0,09;0,04;0,15;0,56;0;0,97;1;0,95;0,32;0,28;0,35;0,04;0,04;;0,68;0,77;0,77;1;0,16;0,28;0,13;0,03;0,66;0,5;0,23
4226;2602308;AGC;Bonito;0,85;0,65;0,2;0,16;0,25;0,64;0,14;0,7;0,28;0,98;0,43;1;0,77;0,79;0,75;0,59;0,71;0,47;0,05;0,05;;0,66;0,73;0,73;1;0,16;0,43;0,53;0,16;0,8;0,84;0,6
4227;2602407;AGM;Brejão;0,68;0,41;0,21;0,05;0,36;0,86;0,03;0,34;0,07;1;0,61;0;0,59;0,45;0,73;0,47;0,26;0,69;0,08;0,08;;0,63;0,68;0,68;1;0;0,44;0,61;0,41;0,76;0,82;0,74
4228;2602506;PAJ;Brejinho;0,68;0,35;0,12;0,03;0,2;0,84;0,03;0,23;0;0,46;0,87;0;0,66;0,57;0,76;0,47;0,4;0,53;0,04;0,04;;0,47;0,38;0,38;0,99;0,38;0,15;0,24;0,24;0,47;0,57;0,57
4229;2602605;AGC;Brejo da Madre de Deus;0,65;0,38;0,29;0,1;0,49;0,72;0,03;0,2;0,06;0,35;0,89;0;0,6;0,55;0,65;0,47;0,42;0,52;0,11;0,11;;0,58;0,59;0,35;0,59;0,74;0,04;0,52;0,6;0,25;0,76;0,79
4230;2602704;MNS;Buenos Aires;0,64;0,3;0,19;0,02;0,24;0,69;0,15;0,17;0,13;0,21;0,62;0;0,87;1;0,75;0,4;0,49;0,31;0,04;0,04;;0,78;0,96;0,94;1;0,96;0,81;0,03;0,04;0,91;0,25;0,31
4231;2602803;AGM;Buíque;0,78;0,51;0,21;0,06;0,19;0,85;0,22;0,67;0,15;0,46;0,87;1;0,54;0,36;0,71;0,49;0,25;0,73;0,02;0,02;;0,56;0,55;0,55;0;0,71;0,01;0,24;0,24;0,06;0,64;0,63
4232;2602902;MET;Cabo de Santo Agostinho;0,74;0,44;0,17;0,08;0,26;0,94;0,05;0,37;0,23;0,13;0,52;1;0,87;1;0,74;0,51;0,7;0,33;0,02;0,01;0,03;0,67;0,76;0,76;0;0,93;0,54;0,02;0,24;0,82;0,17;0,66
4233;2603009;SFR;Cabrobó;0,62;0,36;0,36;0,43;0,28;0,66;0,07;0,28;0,07;0,48;0,94;0;0,37;0,17;0,56;0,58;0,44;0,71;0,15;0,15;;0,44;0,32;0,32;0;0,45;0,01;0,24;0,24;0;0,54;0,54
4234;2603108;AGC;Cachoeirinha;0,68;0,33;0,09;0;0,15;1;0,03;0,12;0,03;0,21;0,88;0;0,85;0,93;0,77;0,55;0,52;0,58;0,02;0,02;;0,64;0,7;0,7;1;0,42;0,21;0,47;0,54;0,6;0,77;0,8
4235;2603207;AGM;Caetés;0,64;0,3;0,15;0,04;0,26;0,88;0,01;0,13;0,02;0,25;0,99;0;0,83;0,79;0,87;0,45;0,21;0,69;0,05;0,05;;0,68;0,77;0,77;1;0,3;0,37;0,44;0,51;0,72;0,76;0,78
4236;2603306;AGM;Calçado;0,64;0,28;0,12;0,07;0,18;0,61;0,03;0,09;0;0,18;0,97;0;0,81;0,73;0,9;0,45;0,27;0,62;0,03;0,03;;0,75;0,89;0,89;1;0;0,42;0,63;0,53;0,76;0,85;0,81
4237;2603405;PAJ;Calumbi;0,61;0,31;0,12;0,01;0,2;0,84;0,03;0,04;0,01;0,07;0,97;0;0,5;0,26;0,75;0,52;0,3;0,73;0,11;0,11;;0,48;0,4;0,26;1;0,4;0,01;0,2;0,24;0;0,52;0,55
4238;2603454;MET;Camaragibe;0,37;0,44;0,48;0;1;0,95;0;0,05;0;0,1;0,58;0;0,84;1;0,68;0,41;0,53;0,28;0,64;0,6;0,68;0,54;0,5;0,65;0,45;0,5;0,4;0,02;0,25;0,58;0,01;0,48
4239;2603504;AGC;Camocim de São Félix;0,71;0,51;0,05;0,02;0,07;0,76;0,01;0,28;0,08;1;0,48;0;0,89;1;0,79;0,73;0,99;0,47;0,13;0,13;;0,77;0,93;0,93;1;0;0,43;0,62;0,41;0,8;0,87;0,79
