id;geocod_ibge;rds;nome;vuln;sensib;s_luc_2017;sl_agrotox;sl_agr_fam;sl_prat_sust;sl_fogo;s_csol_2017;sc_passivo;sc_desmat;sc_pastag;sc_miner;s_dens_pop_faz;sd_popul;sd_fazend;s_infra_2017;si_rodov;si_hidro;s_cap;sc_orient;sc_ucons;expos;e_cobexpo;e_cobnat;e_areaprot;e_priocons;ameaca_atual;ameaca_  SWL1.5;ameaca_SWL2.0;risco_atual;risco_SWL1.5;risco_SWL2.0
4295;2608255;AGM;Jucati;0,68;0,33;0,09;0,03;0,16;0,62;0,01;0,2;0,01;0,4;0,99;0;0,82;0,77;0,87;0,47;0,28;0,65;0,02;0,02;;0,73;0,86;0,86;1;0;0,44;0,64;0,53;0,78;0,86;0,82
4296;2608305;AGM;Jupi;0,63;0,33;0,13;0,03;0,24;0,61;0;0,2;0;0,4;0,97;0;0,94;1;0,88;0,46;0,29;0,63;0,09;0,09;;0,7;0,8;0,8;1;0;0,41;0,64;0,56;0,74;0,83;0,81
4297;2608404;AGM;Jurema;0,67;0,33;0,18;0,06;0,31;0,77;0;0,03;0,06;0;0,75;0;0,85;0,84;0,86;0,47;0,36;0,59;0,03;0,03;;0,75;0,9;0,9;1;0;0,37;0,57;0,46;0,75;0,83;0,79
4299;2608503;MNS;Lagoa de Itaenga;0,61;0,33;0,19;0,02;0,35;0,54;0,04;0,14;0,06;0;0,66;0;0,92;1;0,77;0,44;0,55;0,32;0,07;0,07;;0,79;0,99;0,99;1;0;0,82;0,04;0,15;0,9;0,28;0,56
4298;2608453;MNS;Lagoa do Carro;0,62;0,29;0,14;0,01;0,24;0,73;0,02;0,03;0,17;0,12;0,66;0;0,88;1;0,84;0,47;0,63;0,32;0,13;0,13;;0,8;0,98;0,98;1;0,01;0,81;0,03;0,05;0,9;0,24;0,32
4300;2608602;AGM;Lagoa do Ouro;0,65;0,34;0,16;0,14;0,18;0,66;0,11;0,09;0,03;0,15;0,67;0;0,67;0,54;0,8;0,51;0,33;0,69;0,07;0,02;0,12;0,38;0,21;0,82;0;0,21;0,36;0,49;0,12;0,6;0,66;0,39
4301;2608701;AGC;Lagoa dos Gatos;0,72;0,43;0,17;0,06;0,27;0,92;0,07;0,25;0,05;0,54;0,45;0;0,7;0,59;0,82;0,61;0,69;0,53;0,04;0,04;;0,67;0,75;0,75;1;0,71;0,36;0,46;0,1;0,73;0,78;0,48
4302;2608750;SFR;Lagoa Grande;0,58;0,39;0,47;0,38;0,56;0,62;0,03;0,12;0,08;0,15;0,95;0;0,31;0,11;0,51;0,59;0,39;0,8;0,24;0,24;;0,4;0,24;0,19;1;0,24;0,01;0,24;0,24;0;0,5;0,51
4303;2608800;AGM;Lajedo;0,65;0,36;0,17;0,06;0,27;0,79;0,01;0,16;0,01;0,31;0,98;0;0,92;1;0,84;0,56;0,53;0,6;0,09;0,09;;0,74;0,88;0,88;1;0,11;0,4;0,51;0,52;0,76;0,81;0,81
4304;2608909;AGS;Limoeiro;0,67;0,38;0,19;0,12;0,21;0,85;0,17;0,47;0,21;0,84;0,72;0;0,88;1;0,76;0,29;0,24;0,34;0,08;0,08;;0,76;0,92;0,92;1;0,2;0,77;0,03;0,02;0,9;0,23;0,15
4305;2609006;MNS;Macaparana;0,64;0,34;0,33;0,06;0,59;0,84;0,06;0,12;0,12;0,13;0,53;0;0,88;1;0,75;0,34;0,39;0,29;0,08;0,08;;0,8;1;0,87;1;1;0,36;0,02;0,03;0,75;0,12;0,23
4306;2609105;AGS;Machados;0,62;0,28;0,1;0,03;0,16;0,98;0,01;0,23;0,01;1;0,44;0;0,89;1;0,78;0,33;;0,33;0,06;0,06;;0,69;0,78;0,78;1;0,74;0,35;0,06;0,02;0,7;0,35;0,16
4307;2609154;MOX;Manari;0,69;0,37;0,06;0,02;0,09;0,75;0,03;0,11;0,01;0,22;0,89;0;0,66;0,52;0,79;0,62;0,4;0,83;0,02;0,02;;0,65;0,71;0,71;1;0,38;0,03;0,26;0,14;0,25;0,66;0,52
4308;2609204;MLS;Maraial;0,51;0,37;0,21;0;0,41;0,35;0,06;0,22;0,23;0,21;0,45;0;0,53;0,45;0,61;0,58;0,65;0,52;0,34;0,34;;0,67;0,76;0,76;1;0,5;0,42;0,21;0,03;0,7;0,56;0,14
4309;2609303;SCP;Mirandiba;0,64;0,29;0,2;0,18;0,23;0,92;0,09;0,1;0,04;0,16;0,91;0;0,38;0,15;0,61;0,64;0,52;0,76;0,04;0,04;;0,31;0,09;0,17;0;0,09;0,01;0,24;0,24;0;0,48;0,48
4363;2614303;ARP;Moreilândia;0,7;0,42;0,44;0,1;0,19;0,69;0,03;0,12;0,19;0,19;0,52;1;0,39;1;0,74;0,58;0,83;0,32;0,06;0,06;;0,44;0,8;0,8;0;0,96;0,01;0,03;0,02;0;0,14;0,02
4310;2609402;MET;Moreno;0,73;0,47;0,12;0,08;0,16;0,75;0,11;0,36;0,43;0;0,68;0;0,87;1;0,59;0,5;0,71;0,29;0,11;0,11;;0,69;0,97;0,97;1;0,52;0,92;0,02;0,24;0,94;0,15;0,66
4311;2609501;MNS;Nazaré da Mata;0,63;0,36;0,13;0,02;0,15;0,72;;0,21;0;0,12;0,72;0;0,79;1;1;0,63;1;0,26;0,05;0,05;;0,79;0,94;0,94;0,45;1;0,7;0,14;0,24;0,88;0,55;0,66
4312;2609600;MET;Olinda;0,81;0,58;0,53;0;0,53;0,84;0,04;0,06;0,03;1;0,43;0;1;1;0,92;0,32;0,28;0,35;0,08;0,08;;0,77;0,83;0,83;1;0,06;0,4;0,02;0,25;0,81;0,24;0,71
4313;2609709;AGS;Orobó;0,61;0,27;0,15;0,03;0,27;0,7;0,07;0,23;0,03;0,22;0,89;0;0,96;0,22;0,77;0,66;0,63;0,68;0,03;0,03;;0,71;0,3;0,3;0;0,38;0,2;0,09;0,03;0,6;0,42;0,18
4314;2609808;SFR;Orocó;0,68;0,35;0,21;0,17;0,24;0,91;0,98;0,12;0,15;0,43;0,98;0;0,5;0,24;0,66;0,59;0,54;0,64;0,06;0,06;;0,43;0,47;0,47;1;0,11;0,02;0,24;0,24;0,01;0,56;0,56
4315;2609907;ARP;Ouricuri;0,76;0,52;0,81;0,71;0,18;0,68;0,07;0,29;0,38;0,12;0,42;0;0,45;1;0,54;0,51;0,53;0,48;0,36;0,36;;0,52;0,83;0,83;1;0,17;0,01;0,24;0,24;0,04;0,61;0,62
4316;2610004;MLS;Palmares;0,5;0,38;0,08;0,08;0,07;0,81;0,02;0,25;0,14;0,06;0,36;0;0,77;0,36;0,69;0,51;0,38;0,63;0,04;0,04;;0,71;0,95;0,91;1;0,95;0,52;0,19;0,24;0,75;0,55;0,59
4317;2610103;AGM;Palmeirina;0,67;0,33;0,16;0,11;0,21;0,96;0,04;0,1;0,12;0,14;0,74;0;0,52;0,56;0,78;0,48;0,41;0,56;0,01;0,01;;0,78;0,78;0,78;1;0,02;0,22;0,57;0,16;0,65;0,84;0,58
4318;2610202;AGC;Panelas;0,68;0,32;0,16;0,08;0,23;0,87;0,01;0,13;0,01;0,34;0,96;0;0,67;0,5;0,82;0,5;0,28;0,71;0,02;0,02;;0,68;0,64;0,64;1;0,42;0,34;0,49;0,26;0,72;0,79;0,66
4319;2610301;AGM;Paranatama;0,68;0,34;0,09;0,01;0,16;0,81;0,52;0,17;0,15;0,27;0,99;0;0,66;0,07;0,46;0,54;0,44;0,65;0,12;0,12;;0,61;0,23;0,23;1;0,18;0,26;0,4;0,37;0,64;0,73;0,71
4320;2610400;SCP;Parnamirim;0,63;0,35;0,44;0,26;0,37;0,84;0,1;0,21;0,09;1;0,86;0;0,26;0,71;0,81;0,49;0,6;0,38;0,02;0,02;;0,39;0,79;0,79;1;0;0,01;0,21;0,24;0;0,49;0,52
4321;2610509;AGS;Passira;0,76;0,48;0,28;0,23;0,32;0,58;0,05;0,47;0,28;0,14;0,64;0;0,76;1;0,66;0,44;0,59;0,29;0,11;0,07;0,15;0,69;0,59;0,75;0,59;0,51;0,45;0,16;0,02;0,8;0,6;0,2
4322;2610608;MNS;Paudalho;0,62;0,33;0,21;0,03;0,37;0,88;0;0,21;0;0,2;0,69;1;0,83;1;0,89;0,4;0,54;0,26;0,15;0,03;0,28;0,58;0,8;0,66;0,82;0,8;0,74;0,06;0,24;0,82;0,32;0,6
4323;2610707;MET;Paulista;0,65;0,42;0,06;0;0,11;0,89;0,22;0,45;0,14;0,42;0,94;0;0,94;0,2;0,58;0,49;0,28;0,71;0,06;0,06;;0,69;0,57;0,57;0,73;0,14;0,4;0,02;0,25;0,74;0,18;0,65
4324;2610806;AGM;Pedra;0,65;0,33;0,24;0,07;0,26;0,79;0,52;0,28;0,06;0,45;0,94;0;0,39;0,56;0,71;0,46;0,29;0,63;0,08;0,08;;0,57;0,19;0,35;0;0,19;0,02;0,25;0,24;0,13;0,61;0,6
4325;2610905;AGC;Pesqueira;0,68;0,41;0,35;0,07;0,18;0,87;0,03;0,25;0,27;1;0,96;0;0,63;0,28;0,69;0,67;0,41;0,94;0,1;0,1;;0,37;0,69;0,69;0;1;0,08;0,28;0,3;0,3;0,55;0,57
4326;2611002;IPA;Petrolândia;0,76;0,55;0,33;0,28;0,39;0,89;0,84;0,62;0,14;0,38;0,98;0;0,49;0,64;0,61;0,73;0,58;0,88;0,31;0,31;;0,64;0,34;0,34;0,49;0,31;0,03;0,31;0,24;0,25;0,71;0,66
4327;2611101;SFR;Petrolina;0,7;0,68;0,86;1;0,55;0,98;0,09;0,26;0,01;0,3;0,85;0;0,62;0,45;0,75;0,43;0,25;0,6;0,01;0,01;;0,45;0,31;0,31;0;0,92;0,02;0,24;0,25;0,03;0,57;0,58
4328;2611200;AGC;Poção;0,65;0,29;0,09;0,01;0,08;0,89;0,16;0,15;0,35;0,3;0,62;0;0,6;0,91;0,82;0,69;1;0,38;0,05;0,05;;0,43;0,78;0,91;0,78;0,61;0,07;0,3;0,24;0,31;0,59;0,55
4329;2611309;AGC;Pombos;0,76;0,51;0,17;0,07;0,17;0,76;0,05;0,32;0,2;0,03;0,52;0;0,86;1;0,71;0,55;0,7;0,4;0,02;0,02;;0,69;0,96;0,88;1;0,96;0,63;0,29;0,02;0,87;0,7;0,2
4330;2611408;MLS;Primavera;0,68;0,34;0,13;0,1;0,16;0,99;0,07;0,11;0,27;0,1;0,34;0;0,86;0,92;0,75;0,49;0,4;0,58;0;0;;0,78;0,9;0,9;1;0,26;0,56;0,13;0,17;0,84;0,55;0,6
4331;2611507;MLS;Quipapá;0,69;0,34;0,07;0,02;0,06;0,97;0,3;0,18;0,02;0,15;0,94;0;0,84;0,26;0,76;0,43;0,21;0,66;0,02;0,02;;0,75;0,4;0,4;1;0,22;0,16;0,57;0,04;0,58;0,84;0,31
4332;2611533;PAJ;Quixaba;0,68;0,34;0,24;0,05;0,18;0,68;0;0,08;0;0,08;0,56;0;0,51;1;0,92;0,64;1;0,28;0,32;0,3;0,33;0,48;0,75;0,75;0,75;0,47;0,02;0,24;0,24;0,03;0,57;0,57
4333;2611606;MET;Recife;0,59;0,49;0,34;0;0,77;0,88;0,01;0,04;0,07;0,86;0,93;0;0,96;0,53;0,74;0,49;0,52;0,45;0,04;0,04;;0,67;0,7;0,7;1;0,03;0,37;0,02;0,25;0,7;0,15;0,62
4334;2611705;AGC;Riacho das Almas;0,75;0,47;0,1;0,03;0,17;0,94;0,08;0,46;0,34;0,1;0,48;0;0,64;1;0,44;0,59;0,77;0,41;0,15;0,15;;0,64;0,9;0,9;1;0,28;0,23;0,46;0,32;0,65;0,79;0,71
4335;2611804;MLS;Ribeirão;0,64;0,4;0,16;0,15;0,17;0,81;0,01;0,22;0,54;0,05;0,54;0;0,72;0,84;0,61;0,46;0,53;0,4;0,43;0,15;0,71;0,75;0,64;0,8;0,64;0,06;0,57;0,03;0,24;0,82;0,26;0,65
4336;2611903;MLS;Rio Formoso;0,46;0,38;0,18;0,06;0,3;0,99;0,03;0,29;0,13;0,69;0,67;0;0,73;0,41;0,81;0,61;0,76;0,45;0,02;0,02;;0,61;0,88;0,88;1;0,36;0,26;0,02;0,25;0,56;0,08;0,55
4337;2612000;AGC;Sairé;0,77;0,5;0,07;0,04;0,1;0,74;0,01;0,4;0,02;0,98;0,61;0;0,61;1;0,91;0,31;0,24;0,38;0;0;;0,74;0,64;0,64;1;0;0,46;0,65;0,28;0,82;0,89;0,72
4338;2612109;AGS;Salgadinho;0,67;0,31;0,13;0,03;0,22;0,87;0,15;0,32;0,11;0,51;0,96;0;0,96;0,3;0,58;0,58;0,46;0,71;0,02;0,02;;0,61;0,13;0,27;0;0,13;0,3;0,2;0,02;0,67;0,59;0,16
4339;2612208;SCP;Salgueiro;0,71;0,39;0,34;0,22;0,46;0,83;0,01;0,31;0,02;1;0,83;0;0,44;0,51;0,74;0,52;0,3;0,73;0,07;0,07;;0,34;0,75;0,43;1;0,75;0,01;0,24;0,24;0;0,51;0,51
4340;2612307;AGM;Saloá;0,73;0,47;0,12;0,05;0,18;0,96;0,13;0,42;0,02;0,42;0,93;0;0,62;0,82;0,67;0,48;0,35;0,61;0,09;0,09;;0,67;0,22;0,45;0,15;0,22;0,22;0,36;0,29;0,63;0,74;0,69
4341;2612406;AGC;Sanharó;0,64;0,35;0,18;0,01;0,23;0,92;0,36;0,22;0,08;0,31;0,98;0;0,75;0,1;0,54;0,6;0,49;0,71;0;0;;0,38;0,3;0,3;1;0;0,13;0,3;0,32;0,39;0,56;0,58
4343;2612471;ARP;Santa Cruz;0,61;0,39;0,16;0,02;0,22;0,56;0,11;0,03;0,01;0,05;0,84;0;0,88;0,89;0,86;0,63;0,55;0,7;0,19;0,19;;0,73;0,86;0,41;1;0,86;0,01;0,23;0,24;0,06;0,63;0,63
4344;2612505;PAJ;Santa Cruz da Baixa Verde;0,53;0,56;0,32;0,01;0,64;0,99;0,01;0,69;0,02;0,45;0,92;1;0,76;1;0,52;0,44;0,39;0,48;0,5;0,5;;0,48;0,39;0,39;1;0,03;0,02;0,35;0,25;0,03;0,6;0,53
4342;2612455;AGS;Santa Cruz do Capibaribe;0,66;0,3;0,27;0,18;0,08;0,59;0,47;0,19;0,05;0,44;0,98;0;0,32;0,12;0,59;0,58;0,44;0,72;0,03;0,03;;0,43;0,4;0,4;1;0;0,01;0,24;0,24;0;0,54;0,55
4345;2612554;ARP;Santa Filomena;0,7;0,4;0,44;0,29;0,4;0,82;0,19;0,25;0,09;0,22;0,95;0;0,36;0,11;0,65;0,6;0,47;0,73;0,2;0,2;;0,48;0,45;0,23;1;0,45;0,01;0,24;0,24;0,01;0,58;0,59
4346;2612604;SFR;Santa Maria da Boa Vista;0,64;0,46;0,53;0,91;0,24;1;0;0,15;0,01;0,13;0,88;0;0,38;1;1;0,45;0,48;0,42;0,05;0,05;;0,51;0,84;0,84;1;0;0,01;0,24;0,24;0,02;0,57;0,58
4347;2612703;AGS;Santa Maria do Cambucá;0,68;0,37;0,29;0,06;0,52;0,92;0,13;0,07;0,01;0,21;0,85;0;1;0,48;0,74;0,4;0,25;0,56;0,01;0,01;;0,72;0,3;0,3;1;0;0,16;0,34;0,46;0,58;0,72;0,78
4348;2612802;PAJ;Santa Terezinha;0,67;0,32;0,24;0,02;0,35;0,96;0,09;0,11;0,07;0,03;0,43;0;0,61;0,82;0,65;0,51;0,47;0,55;0,01;0,01;;0,43;1;0,81;1;1;0,22;0,24;0,24;0,53;0,55;0,55
4349;2612901;MLS;São Benedito do Sul;0,67;0,31;0,11;0,01;0,13;0,76;0,09;0,05;0,06;0,44;0,93;0;0,74;0,68;0,78;0,48;0,35;0,61;0,07;0,07;;0,8;0,57;0,57;1;0,04;0,26;0,42;0,02;0,69;0,79;0,14
4350;2613008;AGC;São Bento do Una;0,66;0,37;0,12;0,06;0,15;0,87;0,03;0,25;0,13;0,74;0,85;0;0,73;0,79;0,8;0,51;0,49;0,53;0,07;0,07;;0,57;0,63;0,63;0,14;0,71;0,21;0,46;0,62;0,58;0,74;0,8
4351;2613107;AGC;São Caitano;0,73;0,47;0,09;0,02;0,15;0,79;0,04;0,44;0,07;0,5;0,89;0;0,79;0,72;0,84;0,5;0,36;0,65;0,01;0,01;;0,61;0,81;0,81;1;0,23;0,15;0,53;0,54;0,55;0,8;0,8
4352;2613206;AGM;São João;0,72;0,39;0,17;0,07;0,28;0,81;0,06;0,28;0,15;0,73;0,54;0;0,78;0,74;0,85;0,62;0,75;0,5;0,07;0,07;;0,7;0,85;0,85;1;0;0,42;0,58;0,46;0,77;0,84;0,79
4353;2613305;AGC;São Joaquim do Monte;0,73;0,49;0,06;0,02;0,07;0,6;0,09;0,35;0,02;0,14;0,44;0;0,8;1;0,71;0,52;0,63;0,41;0,04;0;0,08;0,72;0,7;0,7;1;0;0,43;0,58;0,32;0,79;0,85;0,73
4354;2613404;MLS;São José da Coroa Grande;0,69;0,38;0,24;0,01;0,39;0,81;0,9;0,08;0,15;0,26;0,84;0;0,85;0,19;0,61;0,55;0,4;0,69;0,17;0,17;;0,64;0,35;0,35;1;0,16;0,02;0,03;0,25;0,15;0,2;0,64
4355;2613503;SCP;São José do Belmonte;0,67;0,47;0,85;1;0,31;0,97;0,28;0,2;0,05;0,26;0,9;0;0,4;0,35;0,68;0,38;0,2;0,56;0,04;0,04;;0,45;0,32;0,32;1;0;0,01;0,19;0,25;0;0,51;0,57
4356;2613602;PAJ;São José do Egito;0,64;0,29;0,19;0,05;0,11;0,6;0,17;0,16;0,14;0,11;0,57;0;0,52;1;0,64;0,43;0,55;0,31;0,09;0,12;0,07;0,44;0,9;0,78;0,9;0,96;0,02;0,24;0,24;0;0,54;0,54
4357;2613701;MET;São Lourenço da Mata;0,62;0,31;0,18;0,05;0,2;0,94;0,01;0,13;0,05;1;0,45;0;0,82;1;0,7;0,28;0,25;0,31;0,1;0,1;;0,75;1;0,78;1;1;0,64;0,02;0,25;0,84;0,15;0,65
4358;2613800;AGS;São Vicente Férrer;0,59;0,27;0,25;0,07;0,43;0,85;0,94;0,25;0,32;0,23;0,95;0;0,85;0,24;0,52;0,56;0,37;0,75;0,06;0,11;0;0,8;0,96;0,29;1;0,96;0,26;0,02;0,02;0,66;0,14;0,19
4359;2613909;PAJ;Serra Talhada;0,73;0,47;0,87;0,89;0,28;0,97;0,81;0,27;0,09;0,38;0,96;0;0,38;0,1;0,53;0,53;0,44;0,62;0,05;0,05;;0,78;0,26;0,26;1;0;0,01;0,18;0,24;0,12;0,64;0,69
4360;2614006;SCP;Serrita;0,71;0,42;0,67;0,53;0,19;0,97;0,1;0,24;0,14;0,23;0,96;1;0,32;0,12;0,51;0,49;0,28;0,7;0,04;0,04;;0,41;0,24;0,35;0;0,24;0,01;0,09;0,17;0;0,35;0,48
4361;2614105;MOX;Sertânia;0,7;0,4;0,26;0,05;0,42;0,79;0;0,59;0,19;0,05;0,58;0;0,32;1;0,48;0,48;0,59;0,37;0,14;0,06;0,22;0,39;0,76;0,76;1;0,49;0,01;0,16;0,24;0;0,46;0,54
4362;2614204;MLS;Sirinhaém;0,65;0,4;0,33;0,26;0,39;0,72;0,69;0,12;0,02;0,22;0,93;0;0,74;0,22;0,55;0,53;0,49;0,56;0,07;0,07;;0,67;0,32;0,32;1;0,27;0,21;0,02;0,25;0,6;0,17;0,64
4364;2614402;PAJ;Solidão;0,66;0,35;0,13;0,02;0,11;0,99;0,15;0,09;0,01;0,16;0,93;0;0,57;0,35;0,79;0,64;0,67;0,61;0,07;0,07;;0,42;0,29;0,29;1;0;0,02;0,24;0,24;0;0,54;0,54
4365;2614501;AGS;Surubim;0,66;0,32;0,2;0,14;0,25;0,99;0,02;0,25;0,12;0,37;0,87;0;0,94;1;0,88;0,4;0,39;0,4;0,04;0,04;;0,73;0,86;0,86;1;0;0,19;0,32;0,24;0,6;0,71;0,65
4366;2614600;PAJ;Tabira;0,71;0,39;0,29;0,06;0,14;0,77;0,44;0,18;0,05;0,31;0,9;0;0,66;0,6;0,72;0,5;0,4;0,6;0,02;0,02;;0,51;0,46;0,46;1;0;0,02;0,24;0,24;0,13;0,59;0,59
4367;2614709;AGC;Tacaimbó;0,7;0,4;0,09;0,03;0,15;0,97;0,01;0,24;0,08;0,39;0,92;0;0,62;0,45;0,78;0,56;0,57;0,56;0,04;0,04;;0,54;0,51;0,51;0,16;0,76;0,1;0,51;0,56;0,44;0,76;0,77
4368;2614808;IPA;Tacaratu;0,71;0,41;0,26;0,05;0,47;0,81;0,01;0,35;0,14;0,56;0,94;0;0,47;0,17;0,77;0,58;0,24;0,92;0,04;0,09;0;0,49;0,41;0,41;0;1;0,02;0,3;0,24;0,11;0,63;0,59
4369;2614857;MLS;Tamandaré;0,5;0,44;0,31;0,01;0,55;0,83;0,08;0,07;0,05;0,09;0,53;0;0,82;0,9;0,74;0,56;0,71;0,4;0,42;0,13;0,72;0,59;0,6;0,78;0,6;0,15;0,1;0,03;0,25;0,37;0,11;0,56
4370;2615003;AGS;Taquaritinga do Norte;0,76;0,47;0,28;0,01;0,48;0,99;0,08;0,75;0,12;0,56;0,94;1;0,57;0,5;0,64;0,37;0,27;0,46;0,02;0,02;;0,79;0,98;0,45;1;0,98;0,07;0,35;0,44;0,45;0,77;0,82
4371;2615102;AGM;Terezinha;0,68;0,37;0,15;0,05;0,25;0,86;0,03;0,24;0,05;0,43;0,84;0;0,56;0,38;0,74;0,5;0,28;0,72;0,05;0,05;;0,74;0,88;0,88;1;0;0,45;0,56;0,37;0,79;0,83;0,75
4372;2615201;SCP;Terra Nova;0,62;0,34;0,16;0,03;0,3;0,99;0,01;0,27;0,02;0,53;0,97;0;0,41;0,26;0,55;0,51;0,35;0,67;0,12;0,12;;0,41;0,26;0,26;1;0;0,01;0,24;0,24;0;0,52;0,53
4373;2615300;MNS;Timbaúba;0,71;0,43;0,22;0,08;0,22;0,66;0,22;0,46;0,42;0,51;0,65;0;0,82;1;0,63;0,39;0,5;0,28;0,06;0,06;;0,8;1;0,83;1;1;0,43;0,06;0,07;0,81;0,41;0,44
4374;2615409;AGS;Toritama;0,71;0,4;0,31;0;0,61;1;0,01;0,24;0;0,48;0,84;0;0,84;1;0,67;0,49;0,51;0,47;0,03;0,03;;0,8;1;0,74;1;1;0,16;0,32;0,39;0,6;0,75;0,79
4375;2615508;MNS;Tracunhaém;0,64;0,27;0,13;0,02;0,13;0,84;0,13;0,21;0,4;0,01;0,66;0;0,66;0,81;0,52;0,33;0,38;0,28;0,02;0,05;0;0,66;0,73;0,97;0,73;0,4;0,7;0,14;0,24;0,84;0,52;0,62
4376;2615607;ARP;Trindade;0,72;0,43;0,3;0,09;0,39;0,95;0,22;0,17;0,01;0,33;0,95;0;0,83;0,85;0,8;0,56;0,52;0,59;0,05;0,05;;0,57;0,56;0,47;1;0,56;0,01;0,24;0,24;0,05;0,62;0,62
4377;2615706;PAJ;Triunfo;0,71;0,43;0,35;0,01;0,52;0,88;0,18;0,04;0,01;0,08;0,86;0;0,74;0,64;0,83;0,51;0,31;0,7;0,05;0,05;;0,77;0,93;0,24;1;0,93;0,01;0,23;0,24;0,11;0,67;0,68
4378;2615805;AGM;Tupanatinga;0,66;0,35;0,18;0,03;0,2;0,98;0,15;0,23;0,07;0,39;0,85;0;0,47;0,24;0,7;0,51;0,26;0,76;0,07;0,07;;0,43;0,3;0,55;0;0,3;0,02;0,24;0,24;0;0,55;0,54
4379;2615904;PAJ;Tuparetama;0,61;0,29;0,13;0,05;0,19;0,82;0,07;0,17;0,02;0,33;0,91;0;0,46;0,35;0,57;0,41;0,23;0,59;0,08;0,08;;0,45;0,34;0,34;1;0,08;0,01;0,15;0,24;0;0,44;0,54
4380;2616001;AGM;Venturosa;0,67;0,36;0,11;0,01;0,21;0,98;0,01;0,23;0,03;0,44;0,94;0;0,55;0,45;0,65;0,48;0,27;0,68;0,05;0,05;;0,44;0,32;0,44;0,32;0,01;0,02;0,25;0,24;0,04;0,56;0,55
4381;2616100;SCP;Verdejante;0,67;0,33;0,26;0,1;0,42;0,99;0,04;0,14;0,03;0,26;0,9;0;0,41;0,16;0,65;0,56;0,43;0,7;0,03;0,03;;0,39;0,23;0,23;1;0;0,01;0,2;0,24;0;0,5;0,53
4382;2616183;AGS;Vertente do Lério;0,7;0,4;0,17;0,02;0,32;0,99;0,02;0,45;0,01;0,14;0,75;1;0,84;0,82;0,86;0,35;0,31;0,39;0,05;0,05;;0,61;0,64;0,64;1;0;0,16;0,31;0,37;0,55;0,68;0,71
4383;2616209;AGS;Vertentes;0,69;0,48;0,33;0,15;0,51;1;0,03;0,48;0,06;0,89;0,93;0;0,77;0,87;0,68;0,47;0,51;0,44;0,13;0,13;;0,65;0,72;0,72;1;0,64;0,16;0,37;0,56;0,56;0,73;0,81
4384;2616308;MNS;Vicência;0,67;0,4;0,39;0,05;0,75;0,71;0,07;0,42;0,29;0,8;0,55;0;0,81;1;0,62;0,17;0,04;0,3;0,1;0,1;;0,8;1;0,85;1;1;0,42;0,06;0,07;0,79;0,4;0,42
4385;2616407;MLS;Vitória de Santo Antão;0,75;0,45;0,29;0,11;0,41;0,82;0,18;0,27;0,34;0,2;0,6;0;0,86;1;0,73;0,61;0,86;0,36;0,02;0,04;0;0,73;0,86;0,89;0,48;0,86;0,89;0,09;0,16;0,94;0,48;0,59
4386;2616506;MLS;Xexéu;0,3;0,35;0,21;0,03;0,39;0,91;0,02;0,18;0,19;0,16;0,47;0;0,78;1;0,57;0,5;0,5;0,5;0,67;0,67;;0,71;0,83;0,83;1;0;0,6;0,14;0,23;0,67;0,39;0,48
